Prikon;ProudAC1;Prikon480Hp;ProudAC;Napeti;NapetiOvladaniAC;NapetiOvladaniDC;NO;NC;Typ;ObjednaciKod;Hmotnost;Teplota
4;25;5;25;600;-;12...20;1;0;AF09Z-30-10-20;1SBL136001R2010;0.310;40
4;25;5;25;600;;;0;1;AF09Z-30-01-20;1SBL136001R2001;0.310;40
4;25;5;25;600;24...60;20...60;1;0;AF09Z-30-10-21;1SBL136001R2110;0.310;40
4;25;5;25;600;;;0;1;AF09Z-30-01-21;1SBL136001R2101;0.310;40
4;25;5;25;600;48...130;48...130;1;0;AF09Z-30-10-22;1SBL136001R2210;0.310;40
4;25;5;25;600;;;0;1;AF09Z-30-01-22;1SBL136001R2201;0.310;40
4;25;5;25;600;100...250;100...250;1;0;AF09Z-30-10-23;1SBL136001R2310;0.310;40
4;25;5;25;600;;;0;1;AF09Z-30-01-23;1SBL136001R2301;0.310;40
5.5;28;7.5;28;600;-;12...20;1;0;AF12Z-30-10-20;1SBL156001R2010;0.310;40
5.5;28;7.5;28;600;;;0;1;AF12Z-30-01-20;1SBL156001R2001;0.310;40
5.5;28;7.5;28;600;24...60;20...60;1;0;AF12Z-30-10-21;1SBL156001R2110;0.310;40
5.5;28;7.5;28;600;;;0;1;AF12Z-30-01-21;1SBL156001R2101;0.310;40
5.5;28;7.5;28;600;48...130;48...130;1;0;AF12Z-30-10-22;1SBL156001R2210;0.310;40
5.5;28;7.5;28;600;;;0;1;AF12Z-30-01-22;1SBL156001R2201;0.310;40
5.5;28;7.5;28;600;100...250;100...250;1;0;AF12Z-30-10-23;1SBL156001R2310;0.310;40
5.5;28;7.5;28;600;;;0;1;AF12Z-30-01-23;1SBL156001R2301;0.310;40
7.5;30;10;30;600;-;12...20;1;0;AF16Z-30-10-20;1SBL176001R2010;0.310;40
7.5;30;10;30;600;;;0;1;AF16Z-30-01-20;1SBL176001R2001;0.310;40
7.6;30;10;30;600;24...60;20...60;1;0;AF16Z-30-10-21;1SBL176001R2110;0.310;40
7.7;30;10;30;600;;;0;1;AF16Z-30-01-21;1SBL176001R2101;0.310;40
7.8;30;10;30;600;48...130;48...130;1;0;AF16Z-30-10-22;1SBL176001R2210;0.310;40
7.9;30;10;30;600;;;0;1;AF16Z-30-01-22;1SBL176001R2201;0.310;40
7.10;30;10;30;600;100...250;100...250;1;0;AF16Z-30-10-23;1SBL176001R2310;0.310;40
7.11;30;10;30;600;;;0;1;AF16Z-30-01-23;1SBL176001R2301;0.310;40
11;45;15;45;600;-;12...20;0;0;AF26Z-30-00-20;1SBL236001R2000;0.350;40
11;45;15;45;600;24...60;20...60;0;0;AF26Z-30-00-21;1SBL236001R2100;0.350;40
11;45;15;45;600;48...130;48...130;0;0;AF26Z-30-00-22;1SBL236001R2200;0.350;40
11;45;15;45;600;100...250;100...250;0;0;AF26Z-30-00-23;1SBL236001R2300;0.350;40
15;50;20;50;600;-;12...20;0;0;AF30Z-30-00-20;1SBL276001R2000;0.350;40
15;50;20;50;600;24...60;20...60;0;0;AF30Z-30-00-21;1SBL276001R2100;0.350;40
15;50;20;50;600;48...130;48...130;0;0;AF30Z-30-00-22;1SBL276001R2200;0.350;40
15;50;20;50;600;100...250;100...250;0;0;AF30Z-30-00-23;1SBL276001R2300;0.350;40
18.5;50;25;50;600;-;12...20;0;0;AF38Z-30-00-20;1SBL296001R2000;0.350;40
18.5;50;25;50;600;24...60;20...60;0;0;AF38Z-30-00-21;1SBL296001R2100;0.350;40
18.5;50;25;50;600;48...130;48...130;0;0;AF38Z-30-00-22;1SBL296001R2200;0.350;40
18.5;50;25;50;600;100...250;100...250;0;0;AF38Z-30-00-23;1SBL296001R2300;0.350;40
18.5;70;30;60;600;24...60;-;0;0;AF40-30-00-41;1SBL347001R4100;0.970;40
18.5;70;30;60;600;24...60;20...60;0;0;AF40-30-00-11;1SBL347001R1100;0.970;40
18.5;70;30;60;600;48...130;48...130;0;0;AF40-30-00-12;1SBL347001R1200;0.970;40
18.5;70;30;60;600;100...250;100...250;0;0;AF40-30-00-13;1SBL347001R1300;0.950;40
18.5;70;30;60;600;250...500;250...500;0;0;AF40-30-00-14;1SBL347001R1400;0.950;40
22;100;40;80;600;24...60;-;0;0;AF52-30-00-41;1SBL367001R4100;0.970;40
22;100;40;80;600;24...60;20...60;0;0;AF52-30-00-11;1SBL367001R1100;0.970;40
22;100;40;80;600;48...130;48...130;0;0;AF52-30-00-12;1SBL367001R1200;0.970;40
22;100;40;80;600;100...250;100...250;0;0;AF52-30-00-13;1SBL367001R1300;0.950;40
22;100;40;80;600;250...500;250...500;0;0;AF52-30-00-14;1SBL367001R1400;0.950;40
30;105;50;90;600;24...60;-;0;0;AF65-30-00-41;1SBL387001R4100;0.970;40
30;105;50;90;600;24...60;20...60;0;0;AF65-30-00-11;1SBL387001R1100;0.970;40
30;105;50;90;600;48...130;48...130;0;0;AF65-30-00-12;1SBL387001R1200;0.970;40
30;105;50;90;600;100...250;100...250;0;0;AF65-30-00-13;1SBL387001R1300;0.950;40
30;105;50;90;600;250...500;250...500;0;0;AF65-30-00-14;1SBL387001R1400;0.950;40
37;125;60;105;600;24...60;-;0;0;AF80-30-00-41;1SBL397001R4100;1.220;40
37;125;60;105;600;24...60;20...60;0;0;AF80-30-00-11;1SBL397001R1100;1.220;40
37;125;60;105;600;48...130;48...130;0;0;AF80-30-00-12;1SBL397001R1200;1.220;40
37;125;60;105;600;100...250;100...250;0;0;AF80-30-00-13;1SBL397001R1300;1.170;40
37;125;60;105;600;250...500;250...500;0;0;AF80-30-00-14;1SBL397001R1400;1.170;40
45;130;60;115;600;24...60;-;0;0;AF96-30-00-41;1SBL407001R4100;1.220;40
45;130;60;115;600;24...60;20...60;0;0;AF96-30-00-11;1SBL407001R1100;1.220;40
45;130;60;115;600;48...130;48...130;0;0;AF96-30-00-12;1SBL407001R1200;1.220;40
45;130;60;115;600;100...250;100...250;0;0;AF96-30-00-13;1SBL407001R1300;1.170;40
45;130;60;115;600;250...500;250...500;0;0;AF96-30-00-14;1SBL407001R1400;1.170;40
